,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-04 03:15:00,13.961,730.0,76.0,8.4,528.92
2022-03-04 03:30:00,13.961,730.0,76.0,8.4,155.172
2022-03-04 03:45:00,13.961,730.0,76.0,8.4,550.951
2022-03-04 04:00:00,13.961,730.0,76.0,8.4,509.822
2022-03-04 04:15:00,13.961,730.0,76.0,8.4,2.51469
2022-03-04 04:30:00,13.961,730.0,76.0,8.4,789.953
2022-03-04 04:45:00,13.961,730.0,76.0,8.4,189.847
2022-03-04 05:00:00,13.961,730.0,76.0,8.4,102.956
2022-03-04 05:15:00,13.961,730.0,76.0,8.4,147.375
2022-03-04 05:30:00,13.961,730.0,76.0,8.4,153.677
2022-03-04 05:45:00,13.961,730.0,76.0,8.4,322.686
2022-03-04 06:00:00,13.961,730.0,76.0,8.4,380.731
2022-03-04 06:15:00,13.961,730.0,76.0,8.4,2.57572
2022-03-04 06:30:00,13.961,730.0,76.0,8.4,52.195
2022-03-04 06:45:00,13.961,730.0,76.0,8.4,580.081
2022-03-04 07:00:00,13.961,730.0,76.0,8.4,2.51469
2022-03-04 07:15:00,13.961,730.0,76.0,8.4,283.543
2022-03-04 07:30:00,13.961,730.0,76.0,8.4,618.042
2022-03-04 07:45:00,13.961,730.0,76.0,8.4,401.331
2022-03-04 08:00:00,13.961,730.0,76.0,8.4,206.509
2022-03-04 08:15:00,13.961,730.0,76.0,8.4,1077.91
2022-03-04 08:30:00,13.961,730.0,76.0,8.4,1056.57
2022-03-04 08:45:00,13.961,730.0,76.0,8.4,1110.38
2022-03-04 09:00:00,13.961,730.0,76.0,8.4,180.813
2022-03-04 09:15:00,13.961,730.0,76.0,8.4,730.761
2022-03-04 09:30:00,13.961,730.0,76.0,8.4,1159.67
2022-03-04 09:45:00,13.961,730.0,76.0,8.4,871.067
2022-03-04 10:00:00,13.961,730.0,76.0,8.4,1192.72
2022-03-04 10:15:00,13.961,730.0,76.0,8.4,1131.08
2022-03-04 10:30:00,13.961,730.0,76.0,8.4,570.425
2022-03-04 10:45:00,13.961,730.0,76.0,8.4,526.174
2022-03-04 11:00:00,13.961,730.0,76.0,8.4,991.913
2022-03-04 11:15:00,13.961,730.0,76.0,8.4,1297.2
2022-03-04 11:30:00,13.961,730.0,76.0,8.4,879.771
2022-03-04 11:45:00,13.961,730.0,76.0,8.4,714.705
2022-03-04 12:00:00,13.961,730.0,76.0,8.4,1128.62
2022-03-04 12:15:00,13.961,730.0,76.0,8.4,639.03
2022-03-04 12:30:00,13.961,730.0,76.0,8.4,1015.36
2022-03-04 12:45:00,13.961,730.0,76.0,8.4,980.389
2022-03-04 13:00:00,13.961,730.0,76.0,8.4,803.03
2022-03-04 13:15:00,13.961,730.0,76.0,8.4,576.242
2022-03-04 13:30:00,13.961,730.0,76.0,8.4,484.172
2022-03-04 13:45:00,13.961,730.0,76.0,8.4,461.497
2022-03-04 14:00:00,13.961,730.0,76.0,8.4,292.351
2022-03-04 14:15:00,13.961,730.0,76.0,8.4,806.174
2022-03-04 14:30:00,13.961,730.0,76.0,8.4,584.558
2022-03-04 14:45:00,13.961,730.0,76.0,8.4,772.912
2022-03-04 15:00:00,13.961,730.0,76.0,8.4,159.112
2022-03-04 15:15:00,13.961,730.0,76.0,8.4,1057.13
2022-03-04 15:30:00,13.961,730.0,76.0,8.4,926.064
2022-03-04 15:45:00,13.961,730.0,76.0,8.4,1181.04
2022-03-04 16:00:00,13.961,730.0,76.0,8.4,1453.88
2022-03-04 16:15:00,13.961,730.0,76.0,8.4,564.138
2022-03-04 16:30:00,13.961,730.0,76.0,8.4,515.599
2022-03-04 16:45:00,13.961,730.0,76.0,8.4,727.733
2022-03-04 17:00:00,13.961,730.0,76.0,8.4,780.435
2022-03-04 17:15:00,13.961,730.0,76.0,8.4,587.164
2022-03-04 17:30:00,13.961,730.0,76.0,8.4,851.023
2022-03-04 17:45:00,13.961,730.0,76.0,8.4,184.811
2022-03-04 18:00:00,13.961,730.0,76.0,8.4,727.211
2022-03-04 18:15:00,13.961,730.0,76.0,8.4,1126.1
2022-03-04 18:30:00,13.961,730.0,76.0,8.4,208.072
2022-03-04 18:45:00,13.961,730.0,76.0,8.4,504.875
2022-03-04 19:00:00,13.961,730.0,76.0,8.4,373.147
2022-03-04 19:15:00,13.961,730.0,76.0,8.4,679.979
2022-03-04 19:30:00,13.961,730.0,76.0,8.4,1043.34
2022-03-04 19:45:00,13.961,730.0,76.0,8.4,666.465
