Unnamed: 0,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-10 16:00:00,14.124,820.0,79.0,8.8,20367.149999999998
2022-03-10 17:00:00,14.124,820.0,79.0,8.8,15214.590000000002
2022-03-10 18:00:00,14.124,820.0,79.0,8.8,9303.294
2022-03-10 19:00:00,14.124,820.0,79.0,8.8,12705.923999999999
2022-03-10 20:00:00,14.124,820.0,79.0,8.8,12771.960000000001
2022-03-10 21:00:00,14.124,820.0,79.0,8.8,14950.188000000002
2022-03-10 22:00:00,14.124,820.0,79.0,8.8,11155.614
2022-03-10 23:00:00,14.124,820.0,79.0,8.8,19278.78
2022-03-11 00:00:00,14.249,760.0,78.0,9.6,15669.636
2022-03-11 01:00:00,14.249,760.0,78.0,9.6,9865.452
2022-03-11 02:00:00,14.249,760.0,78.0,9.6,7055.15832
2022-03-11 03:00:00,14.249,760.0,78.0,9.6,8901.2556
2022-03-11 04:00:00,14.249,760.0,78.0,9.6,9241.584
2022-03-11 05:00:00,14.249,760.0,78.0,9.6,11112.911999999998
2022-03-11 06:00:00,14.249,760.0,78.0,9.6,9629.22
2022-03-11 07:00:00,14.249,760.0,78.0,9.6,13622.339999999998
2022-03-11 08:00:00,14.249,760.0,78.0,9.6,17444.226
2022-03-11 09:00:00,14.249,760.0,78.0,9.6,18411.57
2022-03-11 10:00:00,14.249,760.0,78.0,9.6,27164.778000000002
2022-03-11 11:00:00,14.249,760.0,78.0,9.6,26659.686
2022-03-11 12:00:00,14.249,760.0,78.0,9.6,16881.546
2022-03-11 13:00:00,14.249,760.0,78.0,9.6,20429.88
2022-03-11 14:00:00,14.249,760.0,78.0,9.6,13897.644
2022-03-11 15:00:00,14.249,760.0,78.0,9.6,19509.468
2022-03-11 16:00:00,14.249,760.0,78.0,9.6,15700.578
2022-03-11 17:00:00,14.249,760.0,78.0,9.6,14713.428
2022-03-11 18:00:00,14.249,760.0,78.0,9.6,12039.093
2022-03-11 19:00:00,14.249,760.0,78.0,9.6,14174.339999999998
2022-03-11 20:00:00,14.249,760.0,78.0,9.6,17298.048
2022-03-11 21:00:00,14.249,760.0,78.0,9.6,28855.56
2022-03-11 22:00:00,14.249,760.0,78.0,9.6,9825.33
2022-03-11 23:00:00,14.249,760.0,78.0,9.6,15364.656
2022-03-12 00:00:00,14.255,760.0,78.0,9.6,19115.652000000002
2022-03-12 01:00:00,14.255,760.0,78.0,9.6,8877.3426
2022-03-12 02:00:00,14.255,760.0,78.0,9.6,5267.2164
2022-03-12 03:00:00,14.255,760.0,78.0,9.6,6593.274
2022-03-12 04:00:00,14.255,760.0,78.0,9.6,5588.574
2022-03-12 05:00:00,14.255,760.0,78.0,9.6,3540.3762
2022-03-12 06:00:00,14.255,760.0,78.0,9.6,3189.381
2022-03-12 07:00:00,14.255,760.0,78.0,9.6,6172.32
2022-03-12 08:00:00,14.255,760.0,78.0,9.6,11056.566
2022-03-12 09:00:00,14.255,760.0,78.0,9.6,18511.434
2022-03-12 10:00:00,14.255,760.0,78.0,9.6,20717.208
2022-03-12 11:00:00,14.255,760.0,78.0,9.6,18138.582
2022-03-12 12:00:00,14.255,760.0,78.0,9.6,26776.751999999997
2022-03-12 13:00:00,14.255,760.0,78.0,9.6,18968.112
2022-03-12 14:00:00,14.255,760.0,78.0,9.6,17127.342
2022-03-12 15:00:00,14.255,760.0,78.0,9.6,10576.4796
2022-03-12 16:00:00,14.255,760.0,78.0,9.6,15020.188199999999
2022-03-12 17:00:00,14.255,760.0,78.0,9.6,12187.188
2022-03-12 18:00:00,14.255,760.0,78.0,9.6,14796.462
2022-03-12 19:00:00,14.255,760.0,78.0,9.6,17953.344
2022-03-12 20:00:00,14.255,760.0,78.0,9.6,19755.396
2022-03-12 21:00:00,14.255,760.0,78.0,9.6,11993.004
2022-03-12 22:00:00,14.255,760.0,78.0,9.6,11066.916
2022-03-12 23:00:00,14.255,760.0,78.0,9.6,16367.1
2022-03-13 00:00:00,14.418,760.0,78.0,9.6,15071.184
2022-03-13 01:00:00,14.418,760.0,78.0,9.6,13200.947999999999
2022-03-13 02:00:00,14.418,760.0,78.0,9.6,14824.816200000001
2022-03-13 03:00:00,14.418,760.0,78.0,9.6,7442.38032
2022-03-13 04:00:00,14.418,760.0,78.0,9.6,10284.7314
2022-03-13 05:00:00,14.418,760.0,78.0,9.6,5004.787799999999
2022-03-13 06:00:00,14.418,760.0,78.0,9.6,2842.77612
2022-03-13 07:00:00,14.418,760.0,78.0,9.6,8964.96
2022-03-13 08:00:00,14.418,760.0,78.0,9.6,8371.9452
2022-03-13 09:00:00,14.418,760.0,78.0,9.6,13229.664599999998
2022-03-13 10:00:00,14.418,760.0,78.0,9.6,27384.45
2022-03-13 11:00:00,14.418,760.0,78.0,9.6,17942.196
2022-03-13 12:00:00,14.418,760.0,78.0,9.6,23639.430000000004
2022-03-13 13:00:00,14.418,760.0,78.0,9.6,25829.37
2022-03-13 14:00:00,14.418,760.0,78.0,9.6,20617.056
2022-03-13 15:00:00,14.418,760.0,78.0,9.6,14891.154
2022-03-13 16:00:00,14.418,760.0,78.0,9.6,21117.018
2022-03-13 17:00:00,14.418,760.0,78.0,9.6,21779.075999999997
2022-03-13 18:00:00,14.418,760.0,78.0,9.6,29853.516
2022-03-13 19:00:00,14.418,760.0,78.0,9.6,12482.76
2022-03-13 20:00:00,14.418,760.0,78.0,9.6,23240.988
2022-03-13 21:00:00,14.418,760.0,78.0,9.6,14340.485999999999
2022-03-13 22:00:00,14.418,760.0,78.0,9.6,15239.604
2022-03-13 23:00:00,14.418,760.0,78.0,9.6,15334.254
2022-03-14 00:00:00,14.651000000000002,760.0,78.0,9.6,16642.872
2022-03-14 01:00:00,14.651000000000002,760.0,78.0,9.6,11169.216
